name,categories,address,lat,lng,distance,code
Dar Al Hai,Entertainment,,25.2695683679636,55.3550796760896,726,9
Zahrat Alquds Restaurant مطعم زهرة القدس,Restaurant & Food,Al Mamzar Road,25.2798148769202,55.3508585737804,883,9
Farhat Al-Asli,Restaurant & Food,Al Mamzar Road,25.279347229249,55.3502308888713,911,9
Salkara Restaurant,Restaurant & Food,Lulu quasis,25.2783531528572,55.3618526343809,489,9
Bait AlKanafa & Traditional Food,Restaurant & Food,"Abu Hail, Deira",25.2808346501729,55.3518749543715,873,9
Al Maskoof Iraqi Restaurant,Restaurant & Food,,25.2805677768386,55.3533403647659,750,9
Italian Juicy Cafe,Restaurant & Food,Abu hail,25.2781773525801,55.3520654035199,687,9
Starbucks,Restaurant & Food,Dubai Airport-Terminal 2,25.267311,55.3549666,962,9
LuLu Hypermarket,Retail,"Lulu Shopping Mall, Amman St, Opposite Rashid Stadium, Al Qusais",25.279158,55.362467,596,9
calicut notebook restaurant,Restaurant & Food,,25.27968561298,55.362376543887900,632,9
Dubai İnternational Airport Starbucks,Restaurant & Food,,25.269404,55.354211,783,9
